,Low res det,Low res IoU,Low res time,High res det,High res IoU,High res time,Obj size,Shape,Name,Filepath
0,True,0.4342196606457098,0.22833967208862305,True,0.4232403368163089,2.19474458694458,267,"(213, 320, 3)",potted plant,000000000139.jpg
1,True,0.9166977988154668,0.22833967208862305,True,0.914282570359115,2.19474458694458,6623,"(213, 320, 3)",tv,000000000139.jpg
2,False,0.0,0.22833967208862305,True,0.8420820775964643,2.19474458694458,2847,"(213, 320, 3)",tv,000000000139.jpg
3,True,0.575709819135867,0.22833967208862305,True,0.5401679203750188,2.19474458694458,1103,"(213, 320, 3)",chair,000000000139.jpg
4,True,0.4106122280460413,0.22833967208862305,True,0.3801316837562047,2.19474458694458,945,"(213, 320, 3)",chair,000000000139.jpg
5,True,0.5443371198383959,0.22833967208862305,True,0.5164696777079668,2.19474458694458,646,"(213, 320, 3)",chair,000000000139.jpg
6,True,0.39365636250782143,0.22833967208862305,True,0.5657984211212105,2.19474458694458,91,"(213, 320, 3)",chair,000000000139.jpg
7,True,0.6642587549482847,0.22833967208862305,True,0.6589587017725418,2.19474458694458,1461,"(213, 320, 3)",person,000000000139.jpg
8,True,0.6665578349032351,0.22833967208862305,True,0.699112533709709,2.19474458694458,197,"(213, 320, 3)",person,000000000139.jpg
9,False,0.0,0.22833967208862305,False,0.0,2.19474458694458,104,"(213, 320, 3)",microwave,000000000139.jpg
10,True,0.7878189070944358,0.22833967208862305,True,0.7354640460087281,2.19474458694458,1020,"(213, 320, 3)",refrigerator,000000000139.jpg
11,False,0.0,0.22833967208862305,False,0.0,2.19474458694458,192,"(213, 320, 3)",book,000000000139.jpg
12,False,0.0,0.22833967208862305,False,0.0,2.19474458694458,158,"(213, 320, 3)",book,000000000139.jpg
13,True,0.679829166295205,0.22833967208862305,True,0.7064898456029187,2.19474458694458,113,"(213, 320, 3)",clock,000000000139.jpg
14,True,0.7831274941661677,0.22833967208862305,True,0.7898059872411592,2.19474458694458,1047,"(213, 320, 3)",vase,000000000139.jpg
15,True,0.616560268555895,0.22833967208862305,True,0.661382487329878,2.19474458694458,104,"(213, 320, 3)",vase,000000000139.jpg
16,False,0.0,0.22833967208862305,False,0.0,2.19474458694458,36,"(213, 320, 3)",chair,000000000139.jpg
17,True,0.5404136219151122,0.22833967208862305,True,0.45759966412703035,2.19474458694458,93,"(213, 320, 3)",vase,000000000139.jpg
18,True,0.568117758719,0.22833967208862305,True,0.5692273620206283,2.19474458694458,64,"(213, 320, 3)",vase,000000000139.jpg
19,False,0.0,0.22833967208862305,False,0.0,2.19474458694458,1179,"(213, 320, 3)",dining table,000000000139.jpg
20,True,0.9258112015544687,0.14002203941345215,True,0.8704726713311537,1.8850367069244385,137913,"(320, 293, 3)",bear,000000000285.jpg
21,True,0.91133334479234,0.20267176628112793,True,0.910877519047125,1.7382829189300537,32221,"(241, 320, 3)",bed,000000000632.jpg
22,True,0.5819750075314571,0.20267176628112793,True,0.645736018191607,1.7382829189300537,1236,"(241, 320, 3)",potted plant,000000000632.jpg
23,True,0.4841978123814426,0.20267176628112793,True,0.40328141789768096,1.7382829189300537,101,"(241, 320, 3)",book,000000000632.jpg
24,True,0.5324349371681104,0.20267176628112793,True,0.4997867565376347,1.7382829189300537,106,"(241, 320, 3)",book,000000000632.jpg
25,True,0.6066978368315192,0.20267176628112793,True,0.6482334592927532,1.7382829189300537,112,"(241, 320, 3)",book,000000000632.jpg
